Vurderings Id;Vitenskapelig navn;Norsk navn;Kategori;Kriterier;Latinsknavn Id;Norge/Svalbard;Ekspertgruppe;Påvirkningsfaktorer;Naturtyper,,,,,,,,,,,,
"N/101193;Draba crassifolia;dvergrublom;EN;""B2a(i)b(ii,iii,iv,""v)""""";101193;N;Karplanter;Klimatiske endringer > Regionale > Endringer i nedbørsmengde | Klimatiske endringer > Regionale > Temperaturendring;"A"",,,,,,,,,";;;;
"N/100322;Eryngium maritimum;strandtorn;EN;""B2a(i)b(i,ii,iii,iv,v)";" C1+2a(i,""ii)""""";100322;N;Karplanter;"Menneskelig forstyrrelse > Rekreasjon/turisme | Forurensing > Terrestrisk > Næringssalter og organiske næringsstoffer | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Turisme/rekreasjon (parker"", idrettsanlegg, stier/løyper mm.)";Ky,,,,,;;;
"N/103156;Ranunculus lingua;kjempesoleie;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";103156;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø | Påvirkning på habitat > Habitatpåvirkning - ikke jord- eller skogbruksaktivitet (terrestrisk) > Utbygging/utvinning;"L | Fl"",,,,,,,,";;;;
"N/99731;Carex stylosa nigritella;griffelstarr;EN;""D1"";99731;N;Karplanter;;A | S,,,,,,,,,,,,";;;;;;;;;
"N/99336;Hydrocharis morsus-ranae;froskebitt;EN;""B2b(iii)c(i)"";99336;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Mudring, dumping og utfyllinger i strandsonen | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging";L,,,,,,,,,,;;;;;;;;
"N/103974;Botrychium simplex;dvergmarinøkkel;EN;""B2a(i)b(iii,iv,v)c(iii,""iv)";" C2b""""";103974;N;Karplanter;"Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning > Turisme/rekreasjon (parker"", idrettsanlegg, stier/løyper mm.)";Ky | B | SM,,,,,,,;;;
"N/100215;Trisetum subalpestre;kveinhavre;EN;""D1"";100215;N;Karplanter;Menneskelig forstyrrelse > Rekreasjon/turisme | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Oppdemming/vannstandsregulering/overføring av vassdrag;Fl | B,,,,,,,,,,,,";;;;;;;;;
"N/99362;Potamogeton pusillus;granntjernaks;EN;""B2a(i)b(ii,iii,""iv)c(iv)""""";99362;N;Karplanter;"Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Mudring"", dumping og utfyllinger i strandsonen | Påvirkning på habitat > Habitatpåvirkning i limnisk miljø > Gjennfylling av dammer, bekkelukking og tørrlegging | Forurensing > I vann > Næringssalter og organiske næringstoffer";L,,,,,,,,;;;;
"N/99533;Microstylis monophyllos;knottblom;EN;""B2a(i)b(i,ii,iii,iv,""v)";" C2a(i)""""";99533;N;Karplanter;Påvirkning på habitat > Landbruk > Jordbruk > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Skogreising/treplantasjer > Drenering (grøfting) | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Slått | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite | Påvirkning på habitat > Landbruk > Skogbruk (kommersielt) > Skogreising/treslagskifte > Skogreising (aktiv gjenplanting av tidligere åpen mark);"V"",,,,,,,,";;;
"N/102009;Ononis spinosa;vedbeinurt;EN;""B2a(i)b(i,ii,iii,iv,""v)""""";102009;N;Karplanter;Påvirkning på habitat > Habitatpåvirkning på ikke landbruksarealer (terrestrisk) > Utbygging/utvinning | Påvirkning på habitat > Landbruk > Opphørt/redusert drift > Beite;"Ky | B"",,,,,,,,";;;;
