Taxon Id;Species name;Scientific name;Species group;Category;Sightings;Landscape type;Red List Category;Red List Criterion
231725;småfibbla;Hieracium inophyllum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231297;;Hieracium inquilinum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;"B2a; D1"
231298;;Hieracium insertum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231727;helfibbla;Hieracium integratifrons;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); C2a(i)"
231729;korpfibbla;Hieracium intercalatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231730;;Hieracium intercedens;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231732;kuggfibbla;Hieracium intermarginatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;CR;B1ab(ii,iii,iv,v)
231299;charlottenborgsfibbla;Hieracium interveniens;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231734;;Hieracium involutiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
251311;irmafibbla;Hieracium irmae;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231302;ullaredsfibbla;Hieracium isonomoum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231735;;Hieracium isopleurum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231736;;Hieracium issenii;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231737;nickelfibbla;Hieracium itharophyton;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231738;tvåbladig fibbla;Hieracium ithytomum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
231739;jädraåsfibbla;Hieracium jaedrense;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231740;;Hieracium jebronense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231741;lövhultsfibbla;Hieracium johanssonii;kärlväxt;Art;0;Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i)"
231742;jueltallfibbla;Hieracium juelii;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B2ab(ii,iii,iv,v); D1"
231743;småkorgig vargfibbla;Hieracium juncinescens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2a(i); D"
231306;finsk stänkfibbla;Hieracium kemiticum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;VU;D1
231745;;Hieracium koehleri;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;NT;B2a
231307;köpingfibbla;Hieracium koepingense;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
231748;;Hieracium lancinatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231750;larssonfibbla;Hieracium larssonii;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231751;;Hieracium lateovatum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231752;;Hieracium latidens;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231753;;Hieracium laxifloccum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231754;;Hieracium laxilimbatum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;EN;D
231311;;Hieracium lecithodes;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231755;legnodfibbla;Hieracium legnodes;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231312;slätfibbla;Hieracium leiocranum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); D1"
251313;smal rödbetsfibbla;Hieracium lepidiforme;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;NT;B2ab(ii,iii,iv,v)
231757;;Hieracium leptomeres;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231758;bondpersfibbla;Hieracium leptum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231317;åsbofibbla;Hieracium leucodaedalum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231759;vitsvansfibbla;Hieracium leucurolepium;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;DD;
231760;;Hieracium leurolonchum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;D1
231761;;Hieracium liljeholmii;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
231762;;Hieracium limbifloccum;kärlväxt;Art;0;Urban miljö (U) - Stor betydelse;DD;
251314;ljus flikfibbla;Hieracium limitaneum;kärlväxt;Art;0;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;EN;"B2ab(ii,iii,iv,v); C2a(i)"
