Species,IUCN
"Euphorbia platyphylla subsp. literata (Jacq.) Holub (syn.Tithymalus platyphyllos subsp. literatus (Jacq.) Chrtek etKřísa)",VU
"Euphorbia seguieriana subsp. major (Neilr.) Domin (syn.Tithymalus seguierianus (Neck.) Prokh. subsp. seguerianus)",NT
"Euphorbia sequieriana subsp. minor (Sadler) Domin (syn.Tithymalus seguierianus subsp. minor (Sadler) Chrtek et Křísa)",EN
"Euphorbia stricta L. (syn. Tithymalus serrulatus (Thuill.)Holub)",NT
Euphorbia villosa Waldst. et Kit. (syn. Tithymalus villosus,DD
"Euphorbia waldsteinii (Soják) Radcl.-Sm. (syn. Tithymalustommasinianus (Bertol.) Soják)",LC
Euphrasia exaristata Smejkal,EN
Euphrasia micrantha Rchb.,EN
Euphrasia pectinata Ten.,CR
Euphrasia slovaca (Yeo) Holub subsp. slovaca,NT
Euphrasia slovaca subsp. pseudomontana (Klášt.) Dostál,EN
Euphrasia stipitata Smejkal,EN
Euphrasia tatrae Wettst.,LC
Ferula sadleriana Ledeb.,CR
Festuca aglochis Borbás,NA
Festuca alpina Suter subsp. alpina,EN
"Festuca psammophila subsp. dominii (Krajina) Šmarda (syn. F.dominii Krajina)",NT
Festuca saxatilis Schur,CR
Festuca vaginata Waldst. et Kit. ex Willd.,VU
Filago lutescens Jord. subsp. lutescens,DD
Filago minima (Sm.) Pers.(syn. Logfia minima (Sm.) Dumort.),NT
Filago vulgaris Lam.,EN
Fritillaria meleagris L.,VU
Fumana procumbens (Dunal) Gren. et Godr.,NT
"Gagea bohemica (Zauschn.) Schult. et Schult. f. subsp.bohemica",EN
Gagea bohemica subsp. saxatilis (Mert. et W. D. J. Koch),DD
Gentiana frigida Haenke,LC
Gentiana nivalis L.,NT
Gentiana pneumonanthe L.,NT
Gentiana punctata L.,NT
Gentianella amarella (L.) Börner subsp. amarella,LC
Gentianella amarella subsp. lingulata (C. Agardh) Holub,EN
Gentianella amarella subsp. reussii (Tocl) Holub,DD
Gentianella fatrae (Borbás) Holub,LC
Gentianella lutescens subsp. carpatica (Wettst.) Holub,NT
Gentianella lutescens subsp. tatrae (Ronniger) Holub,LC
Gentianopsis ciliata (L.) Ma,LC
