"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status","botanical_countries_l3"
"Heliosperma nikolicii","CR","yes","Albania","Heliosperma nikolicii (A.Seliger & Wraber) Niketic & Stevan.",7267415,"Heliosperma pusillum","Tracheophyta","species","SYNONYM","Albania"
"Herniaria parnassica","EN","yes","Albania","Herniaria parnassica Heldr. & Sart.",3594116,"Herniaria parnassica","Tracheophyta","species","ACCEPTED","Albania"
"Hippuris vulgaris","CR","yes","Albania","Hippuris vulgaris L.",5372503,"Hippuris vulgaris","Tracheophyta","species","ACCEPTED","Albania"
"Hutchinsia alpina","EN","yes","Albania","Hutchinsia alpina (L.) R.Br.",5376139,"Hornungia alpina","Tracheophyta","species","SYNONYM","Albania"
"Hydrocharis morsus-ranae","VU","yes","Albania","Hydrocharis morsus-ranae L.",5329266,"Hydrocharis morsus-ranae","Tracheophyta","species","ACCEPTED","Albania"
"Hydrocotile vulgaris","VU","yes","Albania","Hydrocotyle vulgaris L.",3034606,"Hydrocotyle vulgaris","Tracheophyta","species","ACCEPTED","Albania"
"Hyoscyamus niger","VU","yes","Albania","Hyoscyamus niger L.",2928978,"Hyoscyamus niger","Tracheophyta","species","ACCEPTED","Albania"
"Hypericum haplophylloides","CR","yes","Albania","Hypericum haplophylloides Halácsy & Bald.",7330020,"Hypericum haplophylloides","Tracheophyta","species","ACCEPTED","Albania"
"Hypericum perforatum","EN","yes","Albania","Hypericum perforatum L.",3189486,"Hypericum perforatum","Tracheophyta","species","ACCEPTED","Albania"
"Iris pseudacorus","VU","yes","Albania","Iris pseudacorus L.",5298231,"Iris pseudacorus","Tracheophyta","species","ACCEPTED","Albania"
"Jasminum fruticans","VU","yes","Albania","Jasminum fruticans L.",9556104,"Chrysojasminum fruticans","Tracheophyta","species","SYNONYM","Albania"
"Juglans regia","EN","yes","Albania","Juglans regia L.",3054368,"Juglans regia","Tracheophyta","species","ACCEPTED","Albania"
"Juniperus communis","VU","yes","Albania","Juniperus communis L.",2684709,"Juniperus communis","Tracheophyta","species","ACCEPTED","Albania"
"Juniperus excelsa","CR","yes","Albania","Juniperus excelsa M.-Bieb.",2684626,"Juniperus excelsa","Tracheophyta","species","ACCEPTED","Albania"
"Juniperus foetidissima","EN","yes","Albania","Juniperus foetidissima Willd.",2684648,"Juniperus foetidissima","Tracheophyta","species","ACCEPTED","Albania"
"Juniperus oxycedrus","VU","yes","Albania","Juniperus oxycedrus L.",2684451,"Juniperus oxycedrus","Tracheophyta","species","ACCEPTED","Albania"
"Juniperus phoenicea","EN","yes","Albania","Juniperus phoenicea L.",2684640,"Juniperus phoenicea","Tracheophyta","species","ACCEPTED","Albania"
"Laurus nobilis","EN","yes","Albania","Laurus nobilis L.",3034015,"Laurus nobilis","Tracheophyta","species","ACCEPTED","Albania"
"Leontopodium alpinum","CR","yes","Albania","Leontopodium alpinum Cass.",3140685,"Leontopodium nivale","Tracheophyta","species","SYNONYM","Albania"
"Ligusticum albanicum","CR","yes","Albania","Ligusticum albanicum Jáv.",3640295,"Ligusticum albanicum","Tracheophyta","species","ACCEPTED","Albania"
"Lilium albanicum","EN","yes","Albania","Lilium albanicum Griseb.",2753505,"Lilium albanicum","Tracheophyta","species","ACCEPTED","Albania"
"Lotus cytisoides","EN","yes","Albania","Lotus cytisoides L.",5356937,"Lotus cytisoides","Tracheophyta","species","ACCEPTED","Albania"
"Lunaria telekiana","CR","yes","Albania","Lunaria telekiana Jáv.",5373331,"Lunaria telekiana","Tracheophyta","species","ACCEPTED","Albania"
"Lycium europaeum","CR","yes","Albania","Lycium europaeum L.",3797421,"Lycium europaeum","Tracheophyta","species","ACCEPTED","Albania"
"Malcolmia bicolor","EN","yes","Albania","Malcolmia bicolor Boiss. & Heldr.",5373201,"Malcolmia graeca","Tracheophyta","species","SYNONYM","Albania"
"Malva nicaeensis","VU","yes","Albania","Malva nicaeensis All.",3152367,"Malva nicaeensis","Tracheophyta","species","ACCEPTED","Albania"
"Marsilea quadrifolia","EN","yes","Albania","Marsilea quadrifolia L.",5274875,"Marsilea quadrifolia","Tracheophyta","species","ACCEPTED","Albania"
"Matthiola tricuspidata","EN","yes","Albania","Matthiola tricuspidata (L.) R.Br.",8252834,"Matthiola tricuspidata","Tracheophyta","species","DOUBTFUL","Albania"
"Melampyrum heracleoticum","EN","yes","Albania","Melampyrum heracleoticum Boiss. & Orph.",3725632,"Melampyrum heracleoticum","Tracheophyta","species","ACCEPTED","Albania"
"Menyanthes trifoliata","CR","yes","Albania","Menyanthes trifoliata L.",5341511,"Menyanthes trifoliata","Tracheophyta","species","ACCEPTED","Albania"
"Micromeria parviflora","EN","yes","Albania","Micromeria parviflora Rchb.",5606318,"Micromeria longipedunculata","Tracheophyta","species","SYNONYM","Albania"
"Minuartia pseudosaxifraga","CR","yes","Albania","Minuartia pseudosaxifraga (Mattf.) Greuter & Burdet",7382068,"Mcneillia pseudosaxifraga","Tracheophyta","species","SYNONYM","Albania"
"Minuartia velenovskyi","CR","yes","Albania","Minuartia velenovskyi (Rohlena) Hayek",8023005,"Sabulina velenovskyi","Tracheophyta","species","SYNONYM","Albania"
"Narthecium scardicum","VU","yes","Albania","Narthecium scardicum Košanin",5602605,"Narthecium scardicum","Tracheophyta","species","ACCEPTED","Albania"
"Nerium oleander","VU","yes","Albania","Nerium oleander L.",3169756,"Nerium oleander","Tracheophyta","species","ACCEPTED","Albania"
"Nuphar lutea","VU","yes","Albania","Nuphar lutea (L.) Sibth. & Sm.",7551339,"Nuphar lutea","Tracheophyta","species","ACCEPTED","Albania"
"Nymphaea alba","VU","yes","Albania","Nymphaea alba L.",2882437,"Nymphaea alba","Tracheophyta","species","ACCEPTED","Albania"
"Nymphoides peltata","VU","yes","Albania","Nymphoides peltata (S.G.Gmel.) Kuntze",8810827,"Nymphoides peltata","Tracheophyta","species","ACCEPTED","Albania"
"Oenanthe tenuifolia","VU","yes","Albania","Oenanthe tenuifolia Boiss. & Orph.",5540270,"Oenanthe montis-khortiati","Tracheophyta","species","SYNONYM","Albania"
"Omalotheca pichleri","EN","yes","Albania","Omalotheca pichleri (Murb.) Holub",3103268,"Omalotheca roeseri","Tracheophyta","species","SYNONYM","Albania"
"Onosma mattirolii","VU","yes","Albania","Onosma mattirolii Bald.",4068119,"Onosma mattirolii","Tracheophyta","species","ACCEPTED","Albania"
"Onosma pygmaeum","CR","yes","Albania","Onosma pygmaeum Riedl",7403743,"Onosma stellulatum","Tracheophyta","species","SYNONYM","Albania"
"Origanum vulgare","EN","yes","Albania","Origanum vulgare L.",2926612,"Origanum vulgare","Tracheophyta","species","ACCEPTED","Albania"
"Osmunda regalis","EN","yes","Albania","Osmunda regalis L.",8049341,"Osmunda regalis","Tracheophyta","species","ACCEPTED","Albania"
"Oxytropis purpurea","EN","yes","Albania","Oxytropis purpurea (Bald.) Markgr.",5360933,"Oxytropis purpurea","Tracheophyta","species","ACCEPTED","Albania"
"Pancratium maritimum","EN","yes","Albania","Pancratium maritimum L.",2853283,"Pancratium maritimum","Tracheophyta","species","ACCEPTED","Albania"
"Pedicularis errnesti-mayeri","EN","yes","Albania","Pedicularis ernesti-mayeri Stevan., Niketić & D.Lakušić",7331594,"Pedicularis ernesti-mayeri","Tracheophyta","species","ACCEPTED","Albania"
"Pedicularis leucodon","EN","yes","Albania","Pedicularis leucodon Griseb.",7333303,"Pedicularis leucodon","Tracheophyta","species","ACCEPTED","Albania"
"Petasites doerfleri","EN","yes","Albania","Petasites doerfleri Hayek",4238476,"Petasites doerfleri","Tracheophyta","species","ACCEPTED","Albania"
"Petrosimonia oppositifolia","CR","yes","Albania","Petrosimonia oppositifolia (Pall.) Litv.",3757664,"Petrosimonia oppositifolia","Tracheophyta","species","ACCEPTED","Albania"
"Peucedanum arenarium","CR","yes","Albania","Peucedanum arenarium Waldst. & Kit.",10752514,"Taeniopetalum arenarium","Tracheophyta","species","SYNONYM","Albania"
"Phlomis tuberosa","EN","yes","Albania","Phlomis tuberosa L.",3884879,"Phlomoides tuberosa","Tracheophyta","species","SYNONYM","Albania"
"Pholiurus pannonicus","CR","yes","Albania","Pholiurus pannonicus (Host) Trin.",4138669,"Pholiurus pannonicus","Tracheophyta","species","ACCEPTED","Albania"
"Picea abies","CR","yes","Albania","Picea abies (L.) H.Karst.",5284884,"Picea abies","Tracheophyta","species","ACCEPTED","Albania"
"Pinus heldreichii","VU","yes","Albania","Pinus heldreichii H.Christ",5285247,"Pinus heldreichii","Tracheophyta","species","ACCEPTED","Albania"
"Pinus mugo","VU","yes","Albania","Pinus mugo Turra",5285385,"Pinus mugo","Tracheophyta","species","ACCEPTED","Albania"
