"Species","Redlist_cat","Threatened","Country"
"Atriplex prostrata","3","yes","Austria"
"Atriplex rosea","1","yes","Austria"
"Avenula adsurgens subsp. adsurgens","3","yes","Austria"
"Avenula pratensis","3r!","yes","Austria"
"Barbarea stricta","3","yes","Austria"
"Bassia laniflora","1","yes","Austria"
"Bassia prostrata","2","yes","Austria"
"Berula erecta","3r!","yes","Austria"
"Betonica hirsuta","3","yes","Austria"
"Betula humilis","2r!","yes","Austria"
"Betula nana","2r!","yes","Austria"
"Betula pubescens","3r!","yes","Austria"
"Bidens cernuus","3","yes","Austria"
"Bidens radiatus","3","yes","Austria"
"Biscutella laevigata subsp. kerneri","3","yes","Austria"
"Blackstonia acuminata","1","yes","Austria"
"Blackstonia perfoliata","1","yes","Austria"
"Bolboschoenus maritimus","3r!","yes","Austria"
"Bombycilaena erecta","0","yes","Austria"
"Botrychium lanceolatum","1","yes","Austria"
"Botrychium matricariifolium","2","yes","Austria"
"Botrychium multifidum","2","yes","Austria"
"Botrychium simplex","1","yes","Austria"
"Botrychium virginianum","3","yes","Austria"
"Brassica elongata","0","yes","Austria"
"Bromus arvensis","1","yes","Austria"
"Bromus commutatus","3","yes","Austria"
"Bromus pannonicus","2","yes","Austria"
"Bromus racemosus","1","yes","Austria"
"Bromus secalinus","2r!","yes","Austria"
"Bromus squarrosus","2","yes","Austria"
"Bupleurum affine","3","yes","Austria"
"Bupleurum longifolium","3r!","yes","Austria"
"Bupleurum praealtum","2","yes","Austria"
"Bupleurum rotundifolium","2r!","yes","Austria"
"Bupleurum tenuissimum","2","yes","Austria"
"Butomus umbellatus","3r!","yes","Austria"
"Calamagrostis canescens","3r!","yes","Austria"
"Calamagrostis pseudophragmites","3r!","yes","Austria"
"Calamintha foliosa","3","yes","Austria"
"Calamintha menthifolia","3","yes","Austria"
"Calamintha nepeta","3","yes","Austria"
"Caldesia parnassifolia","0","yes","Austria"
"Calla palustris","2r!","yes","Austria"
"Callitriche hamulata","3","yes","Austria"
"Camelina alyssum","0","yes","Austria"
"Campanula bononiensis","3","yes","Austria"
"Campanula cervicaria","3r!","yes","Austria"
"Campanula glomerata","3","yes","Austria"
"Campanula latifolia","3","yes","Austria"
"Campanula rapunculus","1r!","yes","Austria"
"Campanula sibirica","3","yes","Austria"
"Campanula thyrsoides subsp. carniolica","3","yes","Austria"
"Camphorosma annua","2","yes","Austria"
"Cardamine dentata","3","yes","Austria"
"Cardamine parviflora","2","yes","Austria"
"Carex appropinquata","2","yes","Austria"
"Carex atrofusca","3","yes","Austria"
"Carex bohemica","3r!","yes","Austria"
"Carex buxbaumii","1","yes","Austria"
"Carex capitata","1","yes","Austria"
"Carex cespitosa","2r!","yes","Austria"
"Carex chordorrhiza","2r!","yes","Austria"
"Carex curvata","2","yes","Austria"
