"Species","Redlist_cat","Threatened","Country","scientificname","speciesKey","species","phylum","rank","status"
"Dictamus albus","VU","yes","Albania","Dictamnus albus L.",5421338,"Dictamnus albus","Tracheophyta","species","ACCEPTED"
"Dioscorea balcanica","EN","yes","Albania","Dioscorea balcanica Košanin",2754947,"Dioscorea balcanica","Tracheophyta","species","ACCEPTED"
"Draba korabensis","EN","yes","Albania","Draba korabensis Kümmerle & Degen",7971235,"Draba korabensis","Tracheophyta","species","DOUBTFUL"
"Draba parnassica","EN","yes","Albania","Draba parnassica Boiss. & Heldr.",3049413,"Draba parnassica","Tracheophyta","species","ACCEPTED"
"Dracunculus vulgaris","EN","yes","Albania","Dracunculus vulgaris Schott",5330001,"Dracunculus vulgaris","Tracheophyta","species","ACCEPTED"
"Ephedra distachya","EN","yes","Albania","Ephedra distachya L.",2653321,"Ephedra distachya","Tracheophyta","species","ACCEPTED"
"Erica multiflora","EN","yes","Albania","Erica multiflora L.",7373031,"Erica multiflora","Tracheophyta","species","ACCEPTED"
"Erodium guicciardii","EN","yes","Albania","Erodium guicciardii Heldr.",7268540,"Erodium guicciardii","Tracheophyta","species","ACCEPTED"
"Wulfenia baldaccii","VU","yes","Albania","Wulfenia baldaccii Degen",3742271,"Wulfenia baldaccii","Tracheophyta","species","ACCEPTED"
"Wulfenia carinthiaca","VU","yes","Albania","Wulfenia carinthiaca Jacq.",3742214,"Wulfenia carinthiaca","Tracheophyta","species","ACCEPTED"
"Euphorbia heldreichii","EN","yes","Albania","Euphorbia heldreichii Orph. ex Boiss.",3066651,"Euphorbia heldreichii","Tracheophyta","species","ACCEPTED"
"Festucopsis serpentini","VU","yes","Albania","Festucopsis serpentini (C.E.Hubb.) Melderis",4110618,"Festucopsis serpentini","Tracheophyta","species","ACCEPTED"
"Forsythia europaea","VU","yes","Albania","Forsythia europaea Degen & Bald.",5549548,"Forsythia europaea","Tracheophyta","species","ACCEPTED"
"Fraxinus excelsior","CR","yes","Albania","Fraxinus excelsior L.",3172358,"Fraxinus excelsior","Tracheophyta","species","ACCEPTED"
"Fritillaria messanensis","CR","yes","Albania","Fritillaria messanensis Raf.",2752224,"Fritillaria messanensis","Tracheophyta","species","ACCEPTED"
"Galanthus reginae-olgae subsp. reginae-olgae","CR","yes","Albania","Galanthus reginae-olgae subsp. reginae-olgae",2855379,"Galanthus reginae-olgae","Tracheophyta","subspecies","ACCEPTED"
"Galium firmum","CR","yes","Albania","Galium firmum Tausch",2914897,"Galium firmum","Tracheophyta","species","ACCEPTED"
"Galium intricatum","CR","yes","Albania","Galium intricatum Margot & Reut.",2913215,"Galium intricatum","Tracheophyta","species","ACCEPTED"
"Gentiana lutea","EN","yes","Albania","Gentiana lutea L.",3170040,"Gentiana lutea","Tracheophyta","species","ACCEPTED"
"Gentiana pneumonanthe","VU","yes","Albania","Gentiana pneumonanthe L.",7270598,"Gentiana pneumonanthe","Tracheophyta","species","ACCEPTED"
"Geum heterocarpum","VU","yes","Albania","Geum heterocarpum Boiss.",5369961,"Geum heterocarpum","Tracheophyta","species","ACCEPTED"
"Glaucium flavum","EN","yes","Albania","Glaucium flavum Crantz",5334190,"Glaucium flavum","Tracheophyta","species","ACCEPTED"
"Gymnospermium maloi","CR","yes","Albania","Gymnospermium maloi Kit Tan & Shuka",3981693,"Gymnospermium scipetarum","Tracheophyta","species","SYNONYM"
